Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 _globals.py:77(__repr__)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       15    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
       16    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
       59    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
      616    0.001    0.000    0.001    0.000 _inspect.py:15(ismethod)
      616    0.000    0.000    0.001    0.000 _inspect.py:28(isfunction)
      612    0.000    0.000    0.001    0.000 _inspect.py:43(iscode)
      612    0.004    0.000    0.004    0.000 _inspect.py:67(getargs)
      616    0.002    0.000    0.008    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.013    0.013 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:206(dummy_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:218(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:241(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:245(c_void_p)
        1    0.000    0.000    0.000    0.000 _internal.py:250(_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:526(_Stream)
       50    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
       78    0.000    0.000    0.000    0.000 _internal.py:795(<genexpr>)
      122    0.000    0.000    0.000    0.000 _internal.py:830(npy_ctypes_check)
        1    0.000    0.000    0.000    0.000 _internal.py:848(recursive)
        1    0.000    0.000    0.001    0.001 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:176(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:276(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:470(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:478(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:486(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:499(StringConverter)
        1    0.000    0.000    0.008    0.008 _json.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _json.py:103(Writer)
        1    0.000    0.000    0.000    0.000 _json.py:1040(FrameParser)
        1    0.000    0.000    0.000    0.000 _json.py:171(SeriesWriter)
        1    0.000    0.000    0.000    0.000 _json.py:203(FrameWriter)
        1    0.000    0.000    0.000    0.000 _json.py:249(JSONTableWriter)
        1    0.000    0.000    0.000    0.000 _json.py:615(JsonReader)
        1    0.000    0.000    0.000    0.000 _json.py:791(Parser)
        1    0.000    0.000    0.000    0.000 _json.py:996(SeriesParser)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _methods.py:36(_sum)
       74    0.000    0.000    0.003    0.000 _methods.py:44(_any)
       29    0.000    0.000    0.000    0.000 _methods.py:47(_all)
        1    0.000    0.000    0.000    0.000 _misc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _misc.py:423(_Options)
        1    0.000    0.000    0.000    0.000 _misc.py:436(__init__)
        1    0.000    0.000    0.002    0.002 _normalize.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _odfreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _odfreader.py:11(_ODFReader)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:12(_OpenpyxlWriter)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:475(_OpenpyxlReader)
        1    0.000    0.000    0.000    0.000 _optional.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _optional.py:47(import_optional_dependency)
        1    0.000    0.000    0.000    0.000 _parser.py:1377(_tzparser)
        1    0.000    0.000    0.000    0.000 _parser.py:1379(_result)
        1    0.000    0.000    0.000    0.000 _parser.py:1384(_attr)
        1    0.000    0.000    0.000    0.000 _parser.py:1595(ParserError)
        1    0.000    0.000    0.000    0.000 _parser.py:1607(UnknownTimezoneWarning)
        1    0.000    0.000    0.005    0.005 _parser.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:225(_resultbase)
        1    0.000    0.000    0.000    0.000 _parser.py:247(parserinfo)
        1    0.000    0.000    0.000    0.000 _parser.py:300(__init__)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
